_P_ Pl Trm	P indef pl term	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Ess	P indef sg es	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Ess	P indef pl es	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Abe	P indef sg abes	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Abe	P indef pl abes	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Sg Com	P indef sg kom	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		
_P_ Pl Com	P indef pl kom	l+keegi|miski|mõni|muu|üks|mingi|igaüks|igasugu|mõlema|mõningas|mõningane|mitu|palju		

_P_ Sg Nom	P inter rel sg nom	l+kes|mis|mitmes|missugune		
_P_ Pl Nom	P inter rel pl nom	l+kes|mis|mitmes|missugune		
_P_ Sg Gen	P inter rel sg gen	l+kes|mis|mitmes|missugune		
_P_ Pl Gen	P inter rel pl gen	l+kes|mis|mitmes|missugune		
_P_ Sg Par	P inter rel sg part	l+kes|mis|mitmes|missugune		
_P_ Pl Par	P inter rel pl part	l+kes|mis|mitmes|missugune		
_P_ Sg Ill	P inter rel sg ill	l+kes|mis|mitmes|missugune		
_P_ Pl Ill	P inter rel pl ill	l+kes|mis|mitmes|missugune		
_P_ Sg Ine	P inter rel sg in	l+kes|mis|mitmes|missugune		
_P_ Pl Ine	P inter rel pl in	l+kes|mis|mitmes|missugune		
_P_ Sg Ela	P inter rel sg el	l+kes|mis|mitmes|missugune		
_P_ Pl Ela	P inter rel pl el	l+kes|mis|mitmes|missugune		
_P_ Sg All	P inter rel sg all	l+kes|mis|mitmes|missugune		
_P_ Pl All	P inter rel pl all	l+kes|mis|mitmes|missugune		
_P_ Sg Ade	P inter rel sg ad	l+kes|mis|mitmes|missugune		
_P_ Pl Ade	P inter rel pl ad	l+kes|mis|mitmes|missugune		
_P_ Sg Abl	P inter rel sg abl	l+kes|mis|mitmes|missugune		
_P_ Pl Abl	P inter rel pl abl	l+kes|mis|mitmes|missugune		
_P_ Sg Tra	P inter rel sg tr	l+kes|mis|mitmes|missugune		
_P_ Pl Tra	P inter rel pl tr	l+kes|mis|mitmes|missugune		
_P_ Sg Trm	P inter rel sg term	l+kes|mis|mitmes|missugune		
_P_ Pl Trm	P inter rel pl term	l+kes|mis|mitmes|missugune		
_P_ Sg Ess	P inter rel sg es	l+kes|mis|mitmes|missugune		
_P_ Pl Ess	P inter rel pl es	l+kes|mis|mitmes|missugune		
_P_ Sg Abe	P inter rel sg abes	l+kes|mis|mitmes|missugune		
_P_ Pl Abe	P inter rel pl abes	l+kes|mis|mitmes|missugune		
_P_ Sg Com	P inter rel sg kom	l+kes|mis|mitmes|missugune		
_P_ Pl Com	P inter rel pl kom	l+kes|mis|mitmes|missugune		

_P_ Sg Nom	P pos sg nom	l+oma|ise		
_P_ Pl Nom	P pos pl nom	l+oma|ise		
_P_ Sg Gen	P pos sg gen	l+oma|ise		
_P_ Pl Gen	P pos pl gen	l+oma|ise		
_P_ Sg Par	P pos sg part	l+oma|ise		
_P_ Pl Par	P pos pl part	l+oma|ise		
_P_ Sg Ill	P pos sg ill	l+oma|ise		
_P_ Pl Ill	P pos pl ill	l+oma|ise		
_P_ Sg Ine	P pos sg in	l+oma|ise		
_P_ Pl Ine	P pos pl in	l+oma|ise		
_P_ Sg Ela	P pos sg el	l+oma|ise		
_P_ Pl Ela	P pos pl el	l+oma|ise		
_P_ Sg All	P pos sg all	l+oma|ise		
